player_id,name,position,team,injury_status,fantasy_positions,adp,proj_points
2636,Jarred Haggins,WR,,,['WR'],,
12449,Jack Wilson,T,IND,IR,,,
8137,George Pickens,WR,DAL,,['WR'],,
800,Aaron Williams,SS,,,['DB'],,
5987,Alexander Mattison,RB,MIA,,['RB'],,
12046,Chevan Cordeiro,QB,,,['QB'],,
8748,TJ Carter,DB,,,['DB'],,
383,Robert Ayers,DE,,,['DL'],,
7221,Mike Horton,G,,,['OL'],,
12127,Duke Clemens,OL,,,['OL'],,
940,Andre Holmes,WR,,,['WR'],,
8062,Coy Cronk,T,,,['OL'],,
5793,Davond Dade,DE,,,['DL'],,
5430,Timon Parris,T,,,"['OL', 'OT']",,
7665,Landon Dickerson,OL,PHI,,['OL'],,
903,Chris Jones,P,,Questionable,['P'],,
3062,Sean Payton,,,,,,
6396,Austin Fort,TE,,,['TE'],,
3264,Joshua Perry,ILB,,,['LB'],,
12697,Antwaun Powell-Ryland,DE,PHI,,['DL'],,
11672,JC Latham,OL,TEN,,['OL'],,
4609,Matthew Godin,DE,,,['DL'],,
3909,Sam Ficken,K,,,['K'],,
2946,Diandre Campbell,WR,,,['WR'],,
2489,Tony Steward,LB,,,['LB'],,
495,Michael Bennett,DE,,,['DL'],,
8179,Snoop Conner,RB,,,['RB'],,
12066,Elijah Collins,RB,,,['RB'],,
5070,Jordan Lasley,WR,,,['WR'],,
3700,Arjen Colquhoun,CB,,,['DB'],,
11504,Jose Barbon,WR,,,['WR'],,
8405,Tariq Carpenter,DB,,Sus,['DB'],,
791,Cedric Thornton,DT,,,"['DB', 'DL']",,
5962,KeeSean Johnson,WR,,,['WR'],,
4616,Gimel President,OLB,,,['LB'],,
8135,Treylon Burks,WR,TEN,IR,['WR'],,
8683,Joey Blount,DB,ARI,,['DB'],,
5450,Skai Moore,LB,,,['LB'],,
4425,Jason King,G,,,['OL'],,
2012,Chase Vaughn,ILB,,,['LB'],,
7053,Daniel Thomas,DB,JAX,,['DB'],,
7694,Tommy Tremble,TE,CAR,PUP,['TE'],,
8656,Tyshaun James,WR,,,['WR'],,
12102,Andre' Sam,DB,PHI,,['DB'],,
7418,Broc Rutter,QB,,,['QB'],,
5304,Brian Allen,OL,,,['OL'],,
6153,Dexter Williams,RB,,,['RB'],,
13053,Daniel Jackson,WR,HOU,,['WR'],,
5418,D'Juan Hines,OLB,,,['LB'],,
9484,Tucker Kraft,TE,GB,,['TE'],,
838,Phillip Taylor,NT,,,['DL'],,
6198,Andrew Ankrah,DE,,,"['DL', 'LB']",,
10215,Jake Haener,QB,NO,,['QB'],,
2574,Duplicate Player,DE,,,['DL'],,
6436,Malik Reed,LB,,,"['DL', 'LB']",,
3401,Tyler Matakevich,LB,,,['LB'],,
11597,Theo Johnson,TE,NYG,,['TE'],,
1090,Robert Golden,SS,,,['DB'],,
12092,Josh DeBerry,CB,,,['DB'],,
7695,Osa Odighizuwa,DT,DAL,,['DL'],,
11270,Hassan Hall,RB,,,['RB'],,
13056,David Gbenda,LB,TEN,,['LB'],,
5076,John Kelly,RB,,,['RB'],,
6091,Jovon Durante,WR,,,['WR'],,
11576,Braelon Allen,RB,NYJ,,['RB'],,
3556,Christian Powell,RB,,,['RB'],,
12647,Billy Bowman,DB,ATL,,['DB'],,
1602,Jesse Williams,DT,,,['DL'],,
8169,Tre Turner,WR,,,['WR'],,
11980,Ja'Mion Franklin,DT,,Questionable,['DL'],,
7681,Baron Browning,LB,ARI,,"['DL', 'LB']",,
4474,Korren Kirven,OT,,,['OL'],,
6425,Justice Powers,G,,,['OL'],,
12555,Donovan Jackson,OL,MIN,,['OL'],,
425,Clay Matthews,LB,,,['LB'],,
7625,Joe Tryon-Shoyinka,LB,CLE,,"['DL', 'LB']",,
5629,Kevin Toliver,CB,,,['DB'],,
10923,Dorian Williams,LB,BUF,Questionable,['LB'],,
2548,Akeem King,CB,,,['DB'],,
6371,Drew Anderson,QB,,,['QB'],,
398,Matt Shaughnessy,DE,,,['DL'],,
756,Bryan McCann,CB,,,['DB'],,
7596,Elijah Moore,WR,BUF,,['WR'],,
2379,Owamagbe Odighizuwa,DE,,,['DL'],,
1021,Michael McAdoo,ILB,,,['LB'],,
7748,Dwayne Johnson,DB,NYG,,['DB'],,
8799,Zaire Mitchell-Paden,TE,BAL,,['TE'],,
8146,Garrett Wilson,WR,NYJ,,['WR'],,
13092,Steven Losoya,OL,CAR,,['OL'],,
5262,Steve Ishmael,WR,,,['WR'],,
11552,Durell Nchami,LB,IND,,['LB'],,
6040,Tyree Jackson,TE,WAS,IR,['TE'],,
11390,Jake Guidone,OG,,,['OG'],,
472,Darius Butler,FS,,,['DB'],,
8543,Drew Estrada,WR,,Questionable,['WR'],,
5209,Mike Boone,RB,,,['RB'],,
4739,Jack Lynn,OLB,,,['LB'],,
6092,Venzell Boulware,G,,,['OL'],,
4663,Austin Ekeler,RB,WAS,,['RB'],,
1569,Barrett Jones,C,,,['OL'],,
2734,Todd Thomas,ILB,,,['LB'],,
7286,Marvelle Ross,WR,,,['WR'],,
13028,Elliott Davison,DB,NO,,['DB'],,
