Player,position,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Jake Bobo,WR,13,107,1,0,0,15,8,61.5,0,27,17
Derius Davis,WR,13,112,2,1,0,23,5,38.5,0,119,17
Josh Reynolds,WR,13,194,1,4,1,49,8,61.5,0,35,24
Adam Trautman,TE,13,188,2,2,0,37,8,61.5,0,98,22
Brock Wright,TE,13,100,2,0,0,16,7,53.8,0,75,16
Mo Alie-Cox,TE,12,147,1,2,0,22,7,58.3,0,49,22
Jalen Brooks,WR,12,177,1,2,1,41,8,66.7,0,37,30
Ezekiel Elliott,RB,12,69,0,0,0,15,3,25,0,97,15
Luke Farrell,TE,12,67,0,0,0,11,4,33.3,0,30,17
Mecole Hardman,WR,12,90,0,0,0,17,6,50,0,99,14
Julian Hill,TE,12,100,0,0,0,17,5,41.7,1,58,19
Xavier Hutchinson,WR,12,117,0,0,0,19,6,50,0,37,26
D'Ernest Johnson,RB,12,96,0,2,0,26,3,25,0,101,19
Ryan Miller,WR,12,128,2,2,0,39,7,58.3,0,55,20
Jordan Mims,RB,12,71,0,1,0,25,4,33.3,0,80,18
Isiah Pacheco,RB,12,79,0,1,0,23,4,33.3,0,119,16
Trey Palmer,WR,12,172,1,2,0,27,7,58.3,0,42,22
Cordarrelle Patterson,RB,12,80,1,1,0,20,5,41.7,0,56,14
Dante Pettis,WR,12,120,1,1,0,20,8,66.7,0,36,28
Ja'Lynn Polk,WR,12,87,2,1,0,21,4,33.3,0,13,33
Chris Brooks,RB,11,69,0,0,0,15,2,18.2,0,95,13
Michael Carter,RB,11,57,0,0,0,18,2,18.2,0,73,11
Payne Durham,TE,11,115,2,2,0,31,5,45.4,1,24,14
Devin Duvernay,WR,11,79,0,1,0,28,7,63.6,0,63,16
Tyler Goodson,RB,11,61,1,1,0,24,3,27.3,0,67,15
Jordan Mason,RB,11,91,0,1,0,24,6,54.6,0,53,14
Eric Saubert,TE,11,97,1,1,0,20,7,63.6,1,15,14
Tylan Wallace,WR,11,193,1,2,1,84,5,45.4,0,127,12
Emanuel Wilson,RB,11,48,1,1,0,30,3,27.3,0,99,14
Ryan Flournoy,WR,10,102,0,1,0,26,5,50,1,34,14
Eric Gray,RB,10,82,0,0,0,19,3,30,0,103,11
JaMycal Hasty,RB,10,59,1,0,0,16,2,20,0,72,12
Malik Heath,WR,10,97,2,1,1,41,5,50,0,23,13
Khalil Herbert,RB,10,25,0,0,0,7,0,0,1,44,11
Harrison Bryant,TE,9,86,0,0,0,18,5,55.6,0,71,12
DeAndre Carter,WR,9,72,0,0,0,14,3,33.3,0,32,14
Jamison Crowder,WR,9,72,2,0,0,12,4,44.4,0,11,13
Isaiah Davis,RB,9,75,1,1,0,24,4,44.4,0,75,12
Rakim Jarrett,WR,9,124,0,2,0,30,5,55.6,0,18,11
Charlie Kolar,TE,9,131,1,2,1,55,4,44.4,0,76,11
Jeremy McNichols,RB,9,27,0,0,0,10,1,11.1,0,33,12
Bub Means,WR,9,118,1,1,0,36,7,77.8,0,20,15
Durham Smythe,TE,9,53,0,0,0,8,1,11.1,0,16,17
Brevyn Spann-Ford,TE,9,88,0,0,0,18,6,66.7,0,53,14
Sean Tucker,RB,9,109,1,1,0,36,6,66.7,0,105,12
Jamaal Williams,RB,9,57,0,0,0,13,3,33.3,0,53,11
John Bates,TE,8,84,0,1,0,20,3,37.5,1,49,13
Pharaoh Brown,TE,8,65,0,0,0,17,2,25,1,30,12
Gerald Everett,TE,8,36,0,0,0,17,1,12.5,0,41,13
Tyler Higbee,TE,8,66,2,0,0,17,5,62.5,0,48,12
Hayden Hurst,TE,8,73,0,1,0,27,2,25,0,20,13
Jalin Hyatt,WR,8,62,0,0,0,19,3,37.5,0,6,19
Zay Jones,WR,8,84,0,1,0,25,5,62.5,0,19,11
Bo Melton,WR,8,91,0,1,0,28,5,62.5,0,7,17
Trent Sherfield,WR,8,83,1,0,0,17,4,50,0,40,9
Tank Bigsby,RB,7,54,0,1,0,28,1,14.3,0,64,12
Blake Corum,RB,7,58,0,0,0,12,5,71.4,0,65,8
Britain Covey,WR,7,34,0,0,0,11,2,28.6,0,28,8
River Cracraft,WR,7,66,0,0,0,16,4,57.1,0,11,9
Tucker Fisk,TE,7,39,0,0,0,10,1,14.3,0,21,8
KhaDarel Hodge,WR,7,131,1,3,1,45,6,85.7,0,89,12
Hunter Long,TE,7,60,0,0,0,18,2,28.6,0,30,9
Luke Musgrave,TE,7,45,0,0,0,19,2,28.6,0,18,10
K.J. Osborn,WR,7,57,1,1,0,22,2,28.6,0,16,18
Brandon Powell,WR,7,71,0,0,0,13,5,71.4,0,12,10
Jalen Reagor,WR,7,100,0,2,1,41,3,42.9,1,26,12
Ainias Smith,WR,7,41,1,0,0,15,1,14.3,0,23,9
Carson Steele,RB,7,26,0,0,0,9,0,0,0,43,11
Charlie Woerner,TE,7,46,0,0,0,13,3,42.9,0,21,12
Davis Allen,TE,6,39,0,0,0,13,2,33.3,0,21,13
Trey Benson,RB,6,59,0,0,0,19,3,50,0,78,6
Parris Campbell,WR,6,30,1,0,0,7,1,16.7,0,9,8
Ty Chandler,RB,6,42,0,0,0,10,2,33.3,0,53,6
Chris Conley,WR,6,76,0,2,0,23,3,50,0,19,12
Simi Fehoko,WR,6,106,0,2,0,30,6,100,0,16,16
D'Onta Foreman,RB,6,54,0,0,0,16,1,16.7,0,48,8
Xavier Gipson,WR,6,39,1,0,0,17,3,50,0,22,10
Connor Heyward,TE,6,40,1,0,0,16,3,50,0,7,8
Sincere McCormick,RB,6,29,0,0,0,15,2,33.3,0,29,7
Bryce Oliver,WR,6,95,0,1,0,33,4,66.7,0,26,9
MyCole Pruitt,TE,6,40,1,0,0,18,2,33.3,0,16,10
Tip Reiman,TE,6,37,0,0,0,14,1,16.7,0,29,7
Zamir White,RB,6,30,0,0,0,14,2,33.3,0,50,8
Blake Whiteheart,TE,6,51,1,1,0,29,2,33.3,0,10,9
Nick Chubb,RB,5,31,1,0,0,19,3,60,0,31,11
Devin Culp,TE,5,88,0,2,0,26,4,80,0,31,6
Greg Dulcich,TE,5,28,0,0,0,9,0,0,0,15,12
Cam Grandy,TE,5,28,0,0,0,9,1,20,0,16,5
Peyton Hendershot,TE,5,51,0,0,0,15,2,40,0,32,5
Kendre Miller,RB,5,33,0,0,0,16,2,40,0,33,8
Quintin Morris,TE,5,36,1,0,0,14,3,60,0,22,8
Ronnie Rivers,RB,5,34,0,0,0,14,1,20,0,58,6
Ben Sinnott,TE,5,28,1,0,0,12,2,40,0,19,5
Ben Skowronek,WR,5,69,0,1,0,23,4,80,0,29,5
Kimani Vidal,RB,5,62,1,1,0,38,2,40,0,37,9
Johnny Wilson,WR,5,38,1,0,0,9,3,60,0,15,15
Kenny Yeboah,TE,5,47,1,0,0,13,3,60,0,34,8
Treylon Burks,WR,4,34,0,0,0,13,3,75,0,5,8
Jermaine Burton,WR,4,107,0,2,2,47,4,100,0,22,14
