scenario_id,variant,model,points_change_A,points_change_B,fit_change_A,fit_change_B,mutual_benefit,trade_balance,offer_value,ask_value,tom_keywords,perspective_taking,need_analysis,mutual_consideration,reasoning_depth,total_tom_score,reasoning_length,team_a_mentions,team_b_mentions,team_balance,justification_score,specific_benefits
28,tom,gpt-4o,-8.300000000000011,8.300000000000011,-0.0020711102661086223,-0.0016963540627906726,0,0.6575981344733773,25.73,16.919999999999998,4,1,1,2,0,8,101,2,3,0.4,4,1
28,tom,claude-3.5-sonnet,-6.400000000000006,6.400000000000006,0.0,0.0,0,0.7789412449098313,34.38,26.78,3,0,0,3,0,6,80,2,1,0.3333333333333333,2,0
28,tom,gemini-2.5-pro,3.3999999999999773,-3.4000000000000057,-0.005603937351035038,-0.006187976696630071,0,0.9630573248407645,30.240000000000002,31.4,5,1,0,1,0,7,107,2,3,0.4,4,2
28,baseline,gpt-4o,5.800000000000011,-5.799999999999983,-0.0020711102661086223,-0.0016963540627906726,0,0.5886524822695036,9.96,16.919999999999998,0,0,0,0,0,0,42,2,0,0.0,2,1
28,baseline,claude-3.5-sonnet,-7.700000000000017,7.700000000000017,-0.005603937351035038,-0.006187976696630071,0,0.7917930419268511,56.05,44.38,1,0,0,0,0,1,45,1,0,0.0,2,1
28,baseline,gemini-2.5-pro,1.599999999999966,-1.5999999999999943,-0.006192010000093506,-0.006192010000093506,1,0.9804733727810652,33.14,33.8,2,1,1,0,0,4,74,2,1,0.3333333333333333,3,0
29,tom,gpt-4o,-8.5,8.5,-0.0020711102661086223,-0.0016963540627906726,0,0.7190313567215151,32.21,23.16,5,0,0,1,0,6,81,2,3,0.4,3,0
29,tom,claude-3.5-sonnet,-8.5,8.5,-0.0029455144984184,-0.0026662764084344204,0,0.7555051078320092,44.05,33.28,2,0,1,0,1,4,55,1,0,0.0,2,0
29,tom,gemini-2.5-pro,7.599999999999994,-7.599999999999966,-0.005630826364807495,-0.007582705546232749,0,0.6001446131597975,16.6,27.660000000000004,3,0,0,0,2,5,81,1,1,0.5,1,0
29,baseline,gpt-4o,-9.099999999999994,9.100000000000023,-0.0020711102661086223,-0.0016963540627906726,0,0.7045938545786432,32.87,23.16,1,1,0,0,0,2,44,2,1,0.3333333333333333,2,0
29,baseline,claude-3.5-sonnet,-8.5,8.5,-0.0029455144984184,-0.0026662764084344204,0,0.8544989171096671,50.790000000000006,43.4,3,0,2,1,2,8,71,3,0,0.0,4,2
